PriceArea,AvgPrice_DKK,StdPrice_DKK,MinPrice_DKK,MaxPrice_DKK,RecordCount,AvgPrice_EUR
DE,469.58,400.73,-738.56,1842.72,720,62.95
DK1,445.13,358.87,-196.26,1842.87,720,59.67
DK2,424.77,354.76,-189.1,1842.94,720,56.94
NO2,421.83,170.39,-31.7,909.87,720,56.55
SE3,168.17,155.79,-186.87,809.69,720,22.54
SE4,310.14,288.91,-188.73,1579.54,720,41.58
