Date,PriceArea,AvgPriceDKK,MinPriceDKK,MaxPriceDKK,StdPriceDKK,AvgPriceEUR,MinPriceEUR,MaxPriceEUR
2025-05-31,DE,525.9408357083333,-98.239998,1434.890015,466.26064106155786,70.50958404166667,-13.17,192.369995
2025-05-31,DK1,518.7346776666667,-98.232396,1434.849319,463.04138100103444,69.54666670833333,-13.17,192.369995
2025-05-31,DK2,420.41526354166666,-98.232396,1434.849319,465.77626648159935,56.365000208333335,-13.17,192.369995
2025-05-31,NO2,415.6820311666667,47.885496,644.216578,167.80516696900142,55.73041658333333,6.42,86.370003
2025-05-31,SE3,157.58890333333332,-88.38678,697.323197,208.7112308090849,21.127916458333335,-11.85,93.489998
2025-05-31,SE4,308.04533025,-96.367696,1400.315149,415.1654011712114,41.29958308333334,-12.92,187.740005
2025-06-01,DE,295.2283359166667,-152.240005,797.150024,340.298986857076,39.577499958333334,-20.41,106.860001
2025-06-01,DK1,269.45225475,-120.012092,690.162757,307.1608098851395,36.12541625,-16.09,92.529999
2025-06-01,DK2,258.5468685,-54.225476,690.237359,273.40071008884917,34.66333304166667,-7.27,92.540001
2025-06-01,NO2,277.5605962916666,4.624456,552.324162,211.1142152921289,37.212500166666665,0.62,74.050003
2025-06-01,SE3,122.47660450000001,-48.4822,277.691124,131.35690101313503,16.42041675,-6.5,37.23
2025-06-01,SE4,242.95797466666667,-53.032068,546.730062,252.88614430172026,32.573332791666665,-7.11,73.300003
2025-06-02,DE,649.2595831666666,82.050003,1830.390015,406.03985849324425,87.03791708333334,11.0,245.369995
2025-06-02,DK1,579.2316640416667,82.0666,1725.26375,383.98069069748874,77.63875079166667,11.0,231.25
2025-06-02,DK2,503.5469767083334,54.83541,1521.9624,401.4723696433909,67.49416624999999,7.35,204.0
2025-06-02,NO2,469.682071875,251.347607,799.030245,135.9332099689643,62.95499983333334,33.689999,107.099998
2025-06-02,SE3,204.69399541666667,39.16815,447.337569,124.95775722608629,27.436666666666667,5.25,59.959999
2025-06-02,SE4,384.81774429166666,51.47814,870.055194,252.64903071116555,51.57999950000001,6.9,116.620003
2025-06-03,DE,534.8329184583333,-32.23,991.51001,375.9770492174333,71.68666645833333,-4.32,132.899994
2025-06-03,DK1,431.5761964166666,-32.230656,838.071679,340.8920435114776,57.84583375,-4.32,112.330002
2025-06-03,DK2,517.5121787083333,17.607488,991.614958,350.29510062133375,69.36416720833334,2.36,132.910004
2025-06-03,NO2,376.14244775,18.353568,634.690256,195.62311201629697,50.415833125,2.46,85.07
2025-06-03,SE3,207.33563137500002,17.383664,400.868784,124.72740561237306,27.78999991666667,2.33,53.73
2025-06-03,SE4,390.0941452916666,17.53288,735.709495,250.6477635321984,52.285833333333336,2.35,98.610001
2025-06-04,DE,620.0508305833333,72.290001,1438.709961,313.8062360056733,83.112917125,9.69,192.850006
2025-06-04,DK1,547.6561293333333,72.286431,1035.58337,262.10467238618827,73.41333387499999,9.69,138.820007
2025-06-04,DK2,490.31436625,72.286431,1438.64176,388.21050190410796,65.72666741666667,9.69,192.850006
2025-06-04,NO2,490.5381585833333,279.895448,715.0314,107.41148409935535,65.75666679166666,37.52,95.849998
2025-06-04,SE3,178.09267895833332,18.052958,449.981168,132.97546484688647,23.87333329166667,2.42,60.32
2025-06-04,SE4,344.16559666666666,24.170076,898.246589,272.8784482351748,46.135416916666664,3.24,120.410004
2025-06-05,DE,597.9683334166667,52.740002,1017.530029,271.0110538097747,80.157916,7.07,136.399994
2025-06-05,DK1,555.8931022916667,52.741493,915.553549,242.89366434686218,74.51750054166666,7.07,122.730003
