Hour,PriceArea,AvgPrice_DKK
0,DE,660.1280030333332
0,DK1,616.0917233666667
0,DK2,542.9572918
0,NO2,522.3950622
0,SE3,201.97386913333332
0,SE4,393.15827449999995
1,DE,605.2443326333333
1,DK1,566.6091620666667
1,DK2,494.72795743333336
1,NO2,491.0605817333333
1,SE3,171.49263746666665
1,SE4,336.8802489333333
2,DE,584.931001
2,DK1,538.0098468666667
2,DK2,477.6660701
2,NO2,473.48350839999995
2,SE3,158.45972013333332
2,SE4,311.76189189999997
3,DE,572.5329921
3,DK1,526.0478755666667
3,DK2,469.1603956
3,NO2,465.18121276666665
3,SE3,151.63903953333332
3,SE4,297.99132646666664
4,DE,582.6890029333333
4,DK1,524.414021
4,DK2,470.4917912
4,NO2,446.1349591
4,SE3,145.7758623
4,SE4,283.3383536333333
5,DE,617.1363393333334
5,DK1,546.2909351333333
5,DK2,483.9153568
5,NO2,450.122214
5,SE3,170.85528073333336
5,SE4,327.6388929666667
6,DE,678.1019998666667
6,DK1,608.3813863333332
6,DK2,610.9124220666667
6,NO2,467.5328636333333
6,SE3,223.75039083333334
6,SE4,415.4520737666666
7,DE,643.4316655
7,DK1,585.2808759333333
7,DK2,588.5805848666666
7,NO2,474.98513436666667
7,SE3,243.33680563333334
7,SE4,406.5790302
8,DE,531.150668
8,DK1,504.1248875333333
8,DK2,499.1467407
8,NO2,434.98297763333335
8,SE3,216.72219156666668
8,SE4,356.0415096
9,DE,323.44100176666666
9,DK1,308.59042416666665
9,DK2,319.28184393333333
9,NO2,370.2061233
9,SE3,156.14508586666668
9,SE4,243.15506453333333
10,DE,138.02833383333333
10,DK1,141.24387483333334
10,DK2,146.49040556666665
10,NO2,340.52031946666665
10,SE3,74.52739143333334
10,SE4,116.15070643333334
11,DE,47.82600026666667
11,DK1,73.7248834
11,DK2,83.25341013333333
11,NO2,276.82297730000005
11,SE3,39.69047216666666
11,SE4,60.07248116666666
12,DE,-16.570999933333333
12,DK1,41.66869006666668
12,DK2,44.9705102
12,NO2,228.49115083333334
12,SE3,16.583444
12,SE4,30.082359866666664
13,DE,-69.34433316666667
13,DK1,16.216772133333333
13,DK2,22.01255366666667
13,NO2,199.05214216666667
13,SE3,3.9252346666666664
13,SE4,14.248846266666668
14,DE,-68.01399959999999
14,DK1,13.851995266666666
14,DK2,23.7902461
14,NO2,208.71551236666667
14,SE3,8.082826066666666
14,SE4,19.057963733333334
15,DE,-16.457666733333333
15,DK1,34.480564199999996
15,DK2,48.9736647
15,NO2,269.5773642333333
15,SE3,31.659542233333333
15,SE4,44.21414336666667
16,DE,72.96866733333333
16,DK1,93.28213306666666
16,DK2,99.90280053333332
16,NO2,331.48145999999997
16,SE3,58.413846166666666
16,SE4,82.34926813333333
17,DE,307.39899906666665
17,DK1,270.08479346666667
17,DK2,305.19222716666667
17,NO2,398.41372923333336
17,SE3,141.12920733333334
17,SE4,228.33785033333334
18,DE,582.0980043666666
18,DK1,538.4834107666667
18,DK2,514.0050527333334
18,NO2,456.1003710333333
18,SE3,241.44003666666669
18,SE4,445.94892523333334
19,DE,792.1336669333334
19,DK1,731.6995761666666
19,DK2,719.2948985
19,NO2,517.7522761
19,SE3,298.97226293333335
19,SE4,578.3774665333333
20,DE,1044.2926625333334
20,DK1,929.8854951
20,DK2,931.6939143333333
20,NO2,578.6333085
20,SE3,364.1681700333333
20,SE4,709.9663805
21,DE,1053.3443420666667
21,DK1,957.9913496
21,DK2,905.7697339
21,NO2,603.0044184333333
21,SE3,354.9705403
21,SE4,680.4399369333333
22,DE,874.0860016
22,DK1,827.4860471333334
22,DK2,777.5716076
22,NO2,577.7893325333333
22,SE3,309.28223883333334
22,SE4,584.1850962666666
23,DE,729.4246663666667
23,DK1,689.2308221333333
23,DK2,614.7089054
23,NO2,541.4845471
23,SE3,253.052807
23,SE4,477.98491206666665
